Country,Relative AI Skills Penetration,Number of (Unique) Occupations with AI Skills in the Country
India,3.01953,117
United States,2.1839,76
China,1.58125,44
Germany,1.38271,36
Israel,1.21936,20
Canada,1.20354,23
Singapore,1.16313,24
South Korea,1.13044,20
United Kingdom,1.09388,39
Sweden,1.0695,15
Netherlands,0.90035,18
France,0.80788,21
Spain,0.72159,21
Brazil,0.70314,17
Australia,0.67972,15
United Arab Emirates,0.6744,11
Finland,0.67334,9
Norway,0.62643,7
Denmark,0.61988,6
Ireland,0.61436,12
Italy,0.60035,15
Switzerland,0.55119,13
Belgium,0.52205,10
Hong Kong SAR,0.50102,11
Portugal,0.46922,8
South Africa,0.41903,6
