Country Geo,Relative AI Hiring Index (Dec 2021)
New Zealand,2.419958099
Hong Kong SAR,1.557310058
Ireland,1.276661078
Luxembourg,1.255134134
Sweden,1.235705047
Netherlands,1.22828416
United Kingdom,1.20039732
China,1.17516891
United States,1.166837797
Australia,1.14315633
Canada,1.137659574
South Africa,1.12709922
Spain,1.098274137
Denmark,1.093006332
Germany,1.079613076
Norway,1.072202899
Israel,1.071562829
France,1.057655387
Singapore,1.043265621
Finland,1.032580616
Belgium,1.014921795
India,0.992870944
Switzerland,0.957616594
Brazil,0.9569813
Italy,0.956836734
Portugal,0.865140707
Chile,0.793780744
United Arab Emirates,0.760992843
South Korea,0.726330787
Cyprus,0.659752156
